Rank;City;Quality of Life Index;Purchasing Power Index;Safety Index;Health Care Index;Cost of Living Index;Property Price to Income Ratio;Traffic Commute Time Index;Pollution Index;Climate Index
1;Zurich, Switzerland;196.51;117.91;83.60;75.94;135.49;8.01;33.78;17.31;81.48
2;The Hague (Den Haag), Netherlands;194.63;92.65;74.84;78.02;72.55;5.97;29.32;20.07;90.61
3;Eindhoven, Netherlands;187.38;85.29;75.95;73.04;82.62;6.42;25.35;22.55;85.38
4;Vienna, Austria;185.80;87.36;74.74;78.94;71.31;13.12;26.51;17.76;81.77
5;Geneva, Switzerland;184.04;109.73;72.74;73.08;131.75;9.45;25.49;26.44;82.61
6;Bergen, Norway;183.31;86.50;71.91;75.77;104.07;7.55;23.77;20.97;78.83
7;Copenhagen, Denmark;182.71;84.96;72.46;77.68;97.49;8.39;28.61;21.06;83.74
8;Luxembourg, Luxembourg;182.68;100.48;72.45;74.51;89.65;11.66;33.24;20.75;82.62
9;Reykjavik, Iceland;179.71;69.81;77.94;66.68;98.75;6.57;20.04;15.49;68.81
10;Helsinki, Finland;177.14;82.88;74.73;77.49;81.43;12.78;30.97;13.34;62.79
11;Edinburgh, United Kingdom;177.09;78.27;69.43;80.69;75.96;8.76;28.85;27.65;84.01
12;Munich, Germany;176.45;90.73;82.35;78.15;82.01;16.27;33.04;24.93;75.98
13;Belfast, United Kingdom;174.34;84.20;60.06;71.74;65.82;4.25;37.88;27.86;90.84
14;Dusseldorf, Germany;174.03;89.78;68.98;72.33;72.35;9.79;30.31;32.88;86.37
15;Liverpool, United Kingdom;173.76;82.19;55.65;85.71;69.83;8.02;32.76;30.20;90.87
16;Frankfurt, Germany;173.19;103.25;58.12;74.37;75.63;9.86;25.10;37.78;84.72
17;Glasgow, United Kingdom;171.81;92.38;56.14;80.60;69.15;6.58;33.79;34.98;84.78
18;Utrecht, Netherlands;170.82;74.55;72.24;74.00;84.26;8.99;31.82;30.67;87.16
19;Valencia, Spain;170.08;69.24;74.34;81.15;55.41;7.60;29.60;45.88;93.84
20;Gothenburg, Sweden;169.07;84.65;53.57;68.57;81.02;9.84;26.02;20.82;77.49
21;Cambridge, United Kingdom;168.90;73.91;72.20;73.79;75.48;10.95;33.56;32.18;91.37
22;Tallinn, Estonia;168.65;60.15;77.50;71.28;59.20;9.74;26.77;22.58;64.28
23;Graz, Austria;167.57;74.18;74.44;78.08;79.47;8.90;27.17;37.15;73.93
24;Rotterdam, Netherlands;166.76;82.17;64.13;76.88;78.24;7.05;30.03;42.50;87.89
25;Amsterdam, Netherlands;166.66;79.07;66.32;69.60;86.80;11.03;29.62;30.90;87.45
26;Cork, Ireland;166.53;72.36;65.77;57.77;85.85;6.35;34.20;24.44;89.78
27;Leeds, United Kingdom;166.19;89.29;57.80;82.58;65.79;6.40;31.45;46.44;84.59
28;Vilnius, Lithuania;165.21;58.90;72.41;71.51;48.79;11.05;27.52;23.50;66.59
29;Stuttgart, Germany;165.06;94.82;71.24;72.01;72.49;9.73;34.95;44.79;81.07
30;Ljubljana, Slovenia;164.61;55.30;78.51;66.30;62.56;13.35;27.72;22.77;76.11
31;Oslo, Norway;162.86;82.70;64.99;75.97;106.12;10.61;31.81;23.96;59.99
32;Hamburg, Germany;161.67;81.95;56.74;74.68;74.46;11.95;34.39;30.51;82.75
33;Kaunas, Lithuania;161.17;55.71;61.54;73.71;47.22;10.25;24.04;26.03;68.94
34;Berlin, Germany;160.11;88.21;58.86;69.85;72.52;9.97;33.66;39.41;83.35
35;Cologne, Germany;158.51;88.35;56.87;74.83;72.68;10.36;36.39;41.47;84.85
36;Timisoara, Romania;157.45;62.72;75.89;72.81;38.27;7.94;23.70;57.67;82.05
37;Brno, Czech Republic;156.54;60.05;73.47;74.04;49.71;12.79;26.36;43.42;78.17
38;Zagreb, Croatia;156.53;49.57;77.72;65.65;54.06;13.47;31.68;31.65;82.19
39;Prague, Czech Republic;155.92;59.96;75.84;74.61;52.43;17.97;32.35;34.98;80.67
40;Stockholm, Sweden;155.50;80.77;54.90;66.83;87.49;14.22;36.09;19.81;69.67
41;Bristol, United Kingdom;155.04;72.89;58.75;73.54;75.28;10.35;28.97;45.07;88.51
42;Porto, Portugal;153.43;39.79;63.58;74.85;54.26;13.73;28.30;34.67;96.61
43;Lisbon, Portugal;152.39;46.93;71.76;71.56;54.96;16.67;35.79;35.54;98.59
44;Cluj-Napoca, Romania;150.60;50.37;79.00;64.56;41.24;12.54;28.80;42.88;74.35
45;Antwerp, Belgium;150.13;78.49;62.60;80.53;79.41;5.98;37.15;61.14;85.42
46;Lyon, France;148.43;73.03;54.86;77.39;82.31;9.49;33.78;51.09;88.51
47;Madrid, Spain;147.06;61.15;70.58;79.11;65.71;13.37;35.21;52.92;85.47
48;Manchester, United Kingdom;146.80;87.46;43.85;78.42;72.50;7.55;40.70;52.96;86.95
49;Bratislava, Slovakia;146.46;59.05;68.99;57.60;52.69;13.77;30.59;40.90;80.72
50;Birmingham, United Kingdom;145.45;74.70;40.44;74.16;70.79;7.14;32.55;49.55;87.66
51;Brussels, Belgium;143.24;86.65;49.20;74.97;79.05;6.08;37.11;62.13;83.85
52;Riga, Latvia;142.27;46.71;62.07;60.73;55.43;9.59;31.88;38.34;74.70
53;Nizhny Novgorod, Russia;140.59;32.46;68.30;75.68;33.84;11.51;28.96;33.92;45.51
54;Genoa, Italy;139.57;52.46;56.84;70.60;79.71;8.35;35.04;53.85;95.00
55;Bologna, Italy;139.03;54.46;55.29;78.52;77.02;10.86;32.66;54.44;88.12
56;Dublin, Ireland;137.25;67.67;50.46;52.06;86.01;9.25;40.12;39.88;85.89
57;Novi Sad, Serbia;135.89;38.92;59.71;49.66;39.79;14.67;16.61;45.67;84.02
58;Barcelona, Spain;134.28;56.46;54.49;77.68;66.18;13.74;29.94;64.80;95.73
59;Varna, Bulgaria;132.88;41.42;68.38;62.01;41.33;9.25;30.85;63.35;85.08
60;Iasi, Romania;129.83;43.09;70.88;57.64;39.02;10.84;33.09;58.44;73.04
61;Warsaw, Poland;129.74;52.04;73.56;60.65;46.70;15.10;35.08;59.52;74.61
62;Gdansk, Poland;129.10;42.40;68.50;49.93;44.78;18.31;29.24;44.76;75.51
63;London, United Kingdom;128.09;80.12;47.19;71.26;86.75;15.65;43.81;58.86;88.25
64;Wroclaw, Poland;126.13;45.25;72.68;57.53;43.55;16.16;32.96;60.69;78.39
65;Poznan, Poland;126.07;41.61;72.07;55.08;43.42;16.00;30.97;57.93;77.41
66;Turin, Italy;125.80;58.53;49.72;67.22;73.37;8.33;29.44;71.28;85.66
67;Lodz, Poland;123.32;45.18;57.76;53.80;41.31;11.59;30.42;59.84;77.02
68;Budapest, Hungary;123.21;50.79;63.95;49.10;45.39;14.69;39.10;54.12;78.41
69;Sarajevo, Bosnia And Herzegovina;123.12;52.98;52.94;56.51;40.34;9.63;28.65;67.82;78.18
70;Lviv, Ukraine;121.29;29.25;58.57;59.08;29.11;11.72;33.26;52.89;69.61
71;Sofia, Bulgaria;120.75;47.09;58.24;57.18;43.94;9.82;30.72;68.76;76.01
72;Krakow (Cracow), Poland;120.55;46.94;73.82;58.83;43.04;16.46;30.71;70.75;73.86
73;Athens, Greece;120.14;41.36;47.70;56.41;60.99;11.15;38.21;57.28;95.18
74;Paris, France;118.60;69.34;46.81;79.49;94.23;20.97;40.76;64.54;88.39
75;Thessaloniki, Greece;117.83;34.59;52.42;55.86;62.86;11.22;28.00;63.77;88.39
76;Milan, Italy;117.17;50.71;56.44;71.89;83.65;17.85;36.62;67.40;88.12
77;Bucharest, Romania;116.09;48.35;72.02;54.47;42.84;10.60;42.05;75.51;75.61
78;Belgrade, Serbia;109.96;36.00;61.46;53.31;42.63;19.77;35.96;63.79;84.14
79;Minsk, Belarus;108.97;33.31;38.25;45.77;32.06;17.38;30.10;41.40;64.37
80;Kharkiv, Ukraine;108.80;29.85;51.61;47.27;30.15;10.25;37.82;56.20;65.35
81;Rome, Italy;107.81;49.38;47.87;59.25;78.79;17.53;41.98;66.63;93.70
82;Odessa (Odesa), Ukraine;107.37;32.49;46.09;50.68;31.05;11.39;36.03;64.15;79.00
83;Kiev (Kyiv), Ukraine;106.75;37.94;53.37;55.99;31.92;12.30;43.00;65.76;69.95
84;Saint Petersburg, Russia;104.52;39.15;60.57;59.11;36.35;16.34;47.53;62.30;60.64
85;Moscow, Russia;103.85;46.47;61.23;63.33;41.46;21.12;51.39;57.50;55.83
86;Skopje, North Macedonia;102.57;32.82;56.53;56.35;37.41;13.46;28.60;82.92;76.30
87;Dnipro, Ukraine;96.10;31.80;46.63;51.29;29.12;9.64;32.44;82.27;69.52
88;Tirana, Albania;90.85;27.43;61.08;48.78;42.12;16.21;39.93;87.89;86.43
89;Yekaterinburg, Russia;88.41;44.67;52.92;50.88;31.88;9.68;38.53;76.86;21.33
90;Novosibirsk, Russia;87.24;34.90;53.43;54.58;31.93;11.20;40.09;69.33;16.14
